#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
-0.6,150,8.207299,0.25,0.5714285714285714,0.5833333333333334,0.05,150
-1.4,150,8.539948,0.15384615384615385,0.6,0.38461538461538464,0.05,150
-10.15,150,9.2263,0.19999999999999996,0.0,0.0,0.05,150
-1.45,150,9.863018,0.16666666666666663,0.5,0.2222222222222222,0.05,150
-1.9,150,10.197985,0.1428571428571429,0.3333333333333333,0.21428571428571427,0.05,150
-1.65,150,10.541307,0.2777777777777778,0.2857142857142857,0.3888888888888889,0.05,150
-1.9,150,10.924299,0.1333333333333333,0.6,0.3333333333333333,0.05,150
-5.8,150,11.247424,0.16666666666666663,0.0,0.0,0.05,150
-1.4,150,11.623504,0.1333333333333333,0.3333333333333333,0.2,0.05,150
-1.75,150,11.949469,0.0714285714285714,0.6666666666666666,0.21428571428571427,0.05,150
-1.0,150,12.321803,0.30000000000000004,0.25,0.4,0.05,150
-5.3,150,12.67838,0.09090909090909094,0.0,0.0,0.05,150
-2.7,150,13.062101,0.125,0.6666666666666666,0.375,0.05,150
-8.0,150,14.501527,0.16666666666666663,0.0,0.0,0.05,150
-1.45,150,14.788239,0.33333333333333337,0.0,0.16666666666666666,0.05,150
-1.95,150,15.1581,0.18181818181818177,0.3333333333333333,0.2727272727272727,0.05,150
-2.6,150,15.465297,0.09090909090909094,0.5,0.18181818181818182,0.05,150
-2.4,150,15.825668,0.0,0.0,0.0,0.05,150
-2.3,150,16.184397,0.1428571428571429,0.0,0.14285714285714285,0.05,150
-12.4,150,16.715093,0.08333333333333337,0.0,0.0,0.05,150
-2.35,150,17.091796,0.07692307692307687,0.5,0.15384615384615385,0.05,150
0.45,150,17.393677,0.2222222222222222,0.6,0.5555555555555556,0.05,150
-3.0,150,17.777483,0.08333333333333337,0.5,0.16666666666666666,0.05,150
-0.95,150,18.080025,0.3125,0.3333333333333333,0.375,0.05,150
-3.1,150,18.393405,0.0,0.0,0.0,0.05,150
-1.8,150,18.709389,0.07692307692307687,0.75,0.3076923076923077,0.05,150
-0.25,150,18.927551,0.3125,0.2857142857142857,0.4375,0.05,150
-0.95,150,20.155237,0.16666666666666663,0.3333333333333333,0.25,0.05,150
-1.75,150,20.501204,0.09999999999999998,0.6666666666666666,0.3,0.05,150
0.3,150,20.794547,0.2857142857142857,0.5714285714285714,0.5,0.05,150
-2.65,150,21.044922,0.09090909090909094,0.5,0.18181818181818182,0.05,150
-1.45,150,21.336986,0.06666666666666665,0.75,0.26666666666666666,0.05,150
-1.5,150,21.613785,0.125,0.75,0.5,0.05,150
-2.05,150,21.91729,0.0,1.0,0.08333333333333333,0.05,150
-1.9,150,22.241206,0.07692307692307687,0.5,0.15384615384615385,0.05,150
-1.35,150,22.609611,0.16666666666666663,0.25,0.2222222222222222,0.05,150
1.8,150,22.898352,0.1333333333333333,0.75,0.5333333333333333,0.05,150
-0.8,150,23.14139,0.19999999999999996,0.5,0.4,0.05,150
-1.65,150,23.551953,0.18181818181818177,0.0,0.18181818181818182,0.05,150
-0.95,150,23.810114,0.125,0.3333333333333333,0.1875,0.05,150
-0.45,150,24.809124,0.3125,0.3333333333333333,0.375,0.05,150
0.3,150,25.000984,0.25,0.6666666666666666,0.25,0.05,150
0.75,150,25.340892,0.3076923076923077,0.5714285714285714,0.5384615384615384,0.05,150
-1.65,150,25.699905,0.1428571428571429,0.6666666666666666,0.42857142857142855,0.05,150
