episode,step,x,y
250,0,4,5
250,1,4,6
250,2,4,5
250,3,3,5
250,4,2,5
250,5,2,5
250,6,2,5
250,7,2,4
250,8,1,4
250,9,1,4
250,10,0,4
250,11,0,3
250,12,0,2
250,13,0,2
250,14,0,1
250,15,0,1
250,16,1,1
250,17,2,1
250,18,2,1
250,19,2,0
250,20,2,0
250,21,1,0
250,22,1,1
250,23,1,0
250,24,1,1
250,25,1,0
250,26,0,0
250,27,0,0
250,28,0,1
250,29,1,1
250,30,0,1
250,31,0,1
250,32,0,0
250,33,0,1
250,34,0,1
250,35,1,1
250,36,1,0
250,37,1,0
250,38,2,0
250,39,2,0
250,40,1,0
250,41,1,0
250,42,1,1
250,43,1,1
250,44,1,0
250,45,2,0
250,46,2,0
250,47,2,1
250,48,2,0
250,49,2,0
250,50,2,1
250,51,3,1
250,52,2,1
250,53,2,0
250,54,1,0
250,55,2,0
250,56,1,0
250,57,1,0
250,58,1,1
250,59,2,1
250,60,3,1
250,61,3,2
250,62,3,1
250,63,3,2
250,64,3,1
250,65,2,1
250,66,2,0
250,67,2,0
250,68,3,0
250,69,4,0
250,70,4,0
250,71,4,0
250,72,4,1
250,73,3,1
250,74,2,1
250,75,2,1
250,76,1,1
250,77,0,1
250,78,1,1
250,79,1,0
250,80,1,0
250,81,2,0
250,82,3,0
250,83,3,0
250,84,2,0
250,85,2,1
250,86,2,0
250,87,2,0
250,88,1,0
250,89,1,0
250,90,1,1
250,91,2,1
250,92,2,0
250,93,1,0
250,94,0,0
250,95,0,0
250,96,0,1
250,97,0,1
250,98,0,1
250,99,0,1
250,100,0,1
250,101,1,1
250,102,1,0
250,103,1,1
250,104,1,1
250,105,1,2
250,106,2,2
250,107,2,1
250,108,3,1
250,109,3,1
250,110,3,0
250,111,2,0
250,112,2,0
250,113,2,0
250,114,2,0
250,115,2,0
250,116,3,0
250,117,2,0
250,118,2,1
250,119,3,1
250,120,3,0
250,121,3,0
250,122,2,0
250,123,2,1
250,124,2,0
250,125,2,0
250,126,3,0
250,127,3,1
250,128,2,1
250,129,1,1
250,130,1,0
250,131,0,0
250,132,0,0
250,133,0,1
250,134,0,1
250,135,0,0
250,136,0,1
250,137,1,1
250,138,1,0
250,139,0,0
250,140,1,0
250,141,1,0
250,142,0,0
250,143,0,0
250,144,0,0
250,145,0,0
250,146,1,0
250,147,1,1
250,148,0,1
250,149,0,1
50,0,5,4
50,1,5,3
50,2,4,3
50,3,4,2
50,4,4,1
50,5,5,1
50,6,5,2
50,7,5,2
50,8,6,2
50,9,7,2
50,10,6,2
50,11,6,3
50,12,6,2
50,13,6,1
50,14,6,0
50,15,6,0
50,16,6,1
50,17,7,1
50,18,7,0
50,19,7,1
50,20,6,1
50,21,7,1
50,22,7,0
50,23,7,0
50,24,7,1
50,25,7,0
50,26,7,0
50,27,6,0
50,28,6,1
50,29,6,0
50,30,6,0
50,31,7,0
50,32,6,0
50,33,6,0
50,34,7,0
50,35,7,0
50,36,7,1
50,37,7,0
50,38,7,1
50,39,7,1
50,40,7,2
50,41,7,1
50,42,7,0
50,43,7,1
50,44,7,0
50,45,7,0
50,46,7,0
50,47,6,0
50,48,6,0
50,49,6,0
50,50,6,0
50,51,7,0
50,52,6,0
50,53,5,0
50,54,5,0
50,55,5,0
50,56,5,0
50,57,4,0
50,58,4,0
50,59,4,0
50,60,4,0
50,61,4,0
50,62,5,0
50,63,5,1
50,64,5,2
50,65,5,3
50,66,5,3
50,67,6,3
50,68,6,3
50,69,6,4
50,70,6,5
50,71,7,5
50,72,7,4
50,73,7,5
50,74,7,4
50,75,7,4
50,76,6,4
50,77,6,3
50,78,6,3
50,79,6,2
