episode,step,x,y
50,0,5,4
50,1,5,4
50,2,5,4
50,3,5,3
50,4,6,3
50,5,6,3
50,6,6,3
50,7,6,3
50,8,7,3
50,9,7,4
50,10,6,4
50,11,6,5
50,12,5,5
50,13,4,5
50,14,5,5
50,15,5,4
50,16,5,5
50,17,5,6
50,18,5,7
50,19,5,7
50,20,4,7
50,21,4,7
50,22,4,7
50,23,4,7
50,24,4,6
50,25,4,7
50,26,4,6
50,27,3,6
50,28,3,7
50,29,4,7
50,30,3,7
50,31,3,7
50,32,3,6
50,33,3,6
50,34,3,6
50,35,3,5
50,36,3,6
50,37,4,6
50,38,4,6
50,39,3,6
50,40,2,6
50,41,2,7
50,42,2,7
50,43,2,7
50,44,2,7
50,45,2,7
50,46,2,7
50,47,2,7
50,48,3,7
50,49,3,6
50,50,3,6
50,51,3,7
50,52,3,7
50,53,2,7
50,54,2,7
50,55,2,6
50,56,1,6
50,57,2,6
50,58,1,6
50,59,1,5
50,60,1,5
50,61,1,5
50,62,1,6
50,63,1,5
50,64,1,6
50,65,1,7
50,66,2,7
50,67,3,7
50,68,3,7
50,69,2,7
50,70,2,7
50,71,2,6
50,72,2,5
50,73,1,5
50,74,2,5
50,75,2,6
50,76,2,6
50,77,2,6
50,78,2,5
50,79,2,6
50,80,2,5
50,81,2,6
50,82,2,5
50,83,2,6
50,84,1,6
50,85,0,6
50,86,0,6
50,87,0,5
50,88,0,4
50,89,0,5
50,90,0,4
50,91,0,3
50,92,0,3
50,93,0,3
50,94,0,3
50,95,0,3
50,96,1,3
50,97,1,3
50,98,0,3
50,99,0,3
50,100,0,2
50,101,0,2
50,102,0,1
50,103,0,2
50,104,0,1
50,105,0,0
50,106,0,1
50,107,0,1
50,108,0,1
50,109,0,2
50,110,0,2
50,111,0,2
50,112,0,2
50,113,0,2
50,114,0,3
50,115,0,2
50,116,1,2
50,117,1,2
50,118,1,3
50,119,1,3
50,120,1,2
50,121,1,2
50,122,0,2
50,123,0,2
50,124,0,2
50,125,0,2
50,126,1,2
50,127,1,3
50,128,1,2
50,129,1,2
50,130,1,3
50,131,1,3
50,132,0,3
50,133,0,3
50,134,0,2
50,135,0,2
50,136,0,3
50,137,0,2
50,138,1,2
50,139,1,3
50,140,1,2
50,141,1,1
50,142,1,0
50,143,1,0
50,144,1,1
50,145,1,1
50,146,1,2
50,147,1,1
50,148,1,2
50,149,1,3
100,0,5,4
100,1,5,4
100,2,5,5
100,3,4,5
100,4,4,6
100,5,4,6
100,6,4,7
100,7,4,7
100,8,3,7
100,9,4,7
100,10,3,7
100,11,3,7
100,12,2,7
100,13,1,7
100,14,0,7
100,15,0,7
100,16,0,7
100,17,0,6
100,18,0,6
100,19,1,6
100,20,0,6
100,21,0,6
100,22,0,6
100,23,0,6
100,24,0,6
100,25,0,7
100,26,0,7
100,27,0,7
100,28,0,7
100,29,0,7
100,30,0,6
100,31,1,6
100,32,1,6
100,33,0,6
100,34,0,7
100,35,0,7
100,36,0,7
100,37,1,7
100,38,2,7
100,39,1,7
100,40,1,7
100,41,1,7
100,42,2,7
100,43,2,7
100,44,2,7
100,45,2,6
100,46,1,6
100,47,1,6
100,48,1,5
100,49,2,5
100,50,2,6
100,51,2,6
100,52,3,6
100,53,3,7
100,54,3,6
100,55,2,6
100,56,2,5
100,57,2,5
100,58,1,5
100,59,1,6
100,60,0,6
100,61,1,6
100,62,0,6
100,63,0,6
100,64,0,6
100,65,0,7
100,66,0,7
100,67,0,7
100,68,1,7
100,69,2,7
100,70,1,7
100,71,1,7
100,72,1,7
100,73,0,7
100,74,0,7
100,75,0,7
100,76,0,7
100,77,0,7
100,78,0,7
