episode,step,x,y
50,0,5,4
50,1,5,4
50,2,5,4
50,3,5,3
50,4,6,3
50,5,6,3
50,6,6,3
50,7,6,3
50,8,7,3
50,9,7,4
50,10,6,4
50,11,6,5
50,12,5,5
50,13,5,5
50,14,6,5
50,15,7,5
50,16,7,5
50,17,7,5
50,18,7,6
50,19,7,7
50,20,7,7
50,21,7,7
50,22,7,7
50,23,7,7
50,24,7,6
50,25,7,6
50,26,7,5
50,27,6,5
50,28,6,6
50,29,7,6
50,30,7,6
50,31,7,7
50,32,7,6
50,33,7,6
50,34,7,6
50,35,7,5
50,36,7,4
50,37,7,4
50,38,7,4
50,39,7,4
50,40,6,4
50,41,5,4
50,42,5,4
50,43,6,4
50,44,6,4
50,45,6,4
50,46,6,4
50,47,6,4
50,48,7,4
50,49,7,3
50,50,7,3
50,51,7,3
50,52,7,3
50,53,7,3
50,54,7,4
50,55,7,4
50,56,6,4
50,57,7,4
50,58,6,4
50,59,6,3
50,60,6,3
50,61,6,3
50,62,6,4
50,63,6,3
50,64,6,4
50,65,6,3
50,66,7,3
50,67,7,3
50,68,7,3
50,69,7,3
50,70,7,3
50,71,7,2
50,72,7,1
50,73,7,1
50,74,7,1
50,75,7,2
50,76,7,2
50,77,7,2
50,78,7,2
50,79,7,3
50,80,7,2
50,81,7,3
50,82,7,3
50,83,7,3
50,84,6,3
50,85,5,3
50,86,4,3
50,87,4,2
50,88,4,1
50,89,3,1
50,90,3,0
50,91,3,0
50,92,3,0
50,93,2,0
50,94,1,0
50,95,0,0
50,96,1,0
50,97,1,0
50,98,0,0
50,99,0,0
50,100,0,0
50,101,0,0
50,102,0,0
50,103,1,0
50,104,1,0
50,105,1,0
50,106,1,1
50,107,2,1
50,108,2,1
50,109,2,0
50,110,2,0
50,111,2,0
50,112,1,0
50,113,2,0
50,114,2,1
50,115,2,0
50,116,3,0
50,117,3,0
50,118,3,0
50,119,3,0
50,120,3,0
50,121,3,0
50,122,2,0
50,123,1,0
50,124,1,0
50,125,0,0
50,126,1,0
50,127,2,0
50,128,2,0
50,129,2,0
50,130,2,1
50,131,2,1
50,132,3,1
50,133,3,1
50,134,3,0
50,135,3,0
50,136,4,0
50,137,4,0
50,138,5,0
50,139,6,0
50,140,7,0
50,141,7,0
50,142,7,0
50,143,7,0
50,144,7,1
50,145,7,1
50,146,7,1
50,147,7,0
50,148,7,1
50,149,7,1
100,0,5,4
100,1,6,4
100,2,7,4
100,3,7,3
100,4,7,3
100,5,7,3
100,6,7,4
100,7,7,4
100,8,7,3
100,9,7,3
100,10,7,2
100,11,7,1
100,12,6,1
100,13,5,1
100,14,4,1
100,15,4,2
100,16,4,1
100,17,4,0
100,18,4,0
100,19,4,0
100,20,3,0
100,21,3,0
100,22,4,0
100,23,3,0
100,24,3,0
100,25,2,0
100,26,1,0
100,27,0,0
100,28,0,0
100,29,0,0
100,30,0,0
100,31,1,0
100,32,1,0
100,33,0,0
100,34,0,1
100,35,0,0
100,36,0,0
100,37,1,0
100,38,2,0
100,39,1,0
100,40,2,0
100,41,2,0
100,42,2,0
100,43,2,1
100,44,3,1
100,45,3,0
100,46,2,0
100,47,2,0
100,48,2,0
100,49,3,0
100,50,4,0
100,51,4,0
100,52,5,0
100,53,4,0
100,54,4,0
100,55,4,0
100,56,4,0
100,57,4,0
100,58,3,0
100,59,3,0
100,60,4,0
100,61,5,0
100,62,4,0
100,63,3,0
100,64,3,0
100,65,3,0
100,66,3,0
100,67,2,0
100,68,3,0
100,69,4,0
100,70,4,0
100,71,5,0
100,72,5,0
100,73,5,0
100,74,4,0
100,75,4,0
100,76,3,0
100,77,3,0
100,78,2,0
