episode,step,x,y
50,0,5,4
50,1,5,4
50,2,5,4
50,3,5,3
50,4,6,3
50,5,6,3
50,6,6,3
50,7,6,3
50,8,7,3
50,9,7,4
50,10,6,4
50,11,6,5
50,12,5,5
50,13,4,5
50,14,5,5
50,15,5,4
50,16,5,5
50,17,6,5
50,18,6,6
50,19,6,7
50,20,5,7
50,21,5,7
50,22,5,7
50,23,5,7
50,24,5,6
50,25,5,6
50,26,5,5
50,27,4,5
50,28,4,6
50,29,5,6
50,30,4,6
50,31,4,7
50,32,4,6
50,33,4,6
50,34,4,6
50,35,4,5
50,36,4,4
50,37,5,4
50,38,5,4
50,39,4,4
50,40,3,4
50,41,2,4
50,42,2,4
50,43,2,5
50,44,2,5
50,45,2,5
50,46,2,5
50,47,2,5
50,48,3,5
50,49,3,4
50,50,3,4
50,51,3,3
50,52,3,3
50,53,2,3
50,54,2,4
50,55,2,3
50,56,1,3
50,57,2,3
50,58,1,3
50,59,1,2
50,60,1,2
50,61,1,2
50,62,1,3
50,63,1,2
50,64,1,3
50,65,1,2
50,66,2,2
50,67,3,2
50,68,3,2
50,69,3,1
50,70,4,1
50,71,4,0
50,72,4,0
50,73,3,0
50,74,4,0
50,75,4,1
50,76,4,1
50,77,4,1
50,78,4,0
50,79,4,1
50,80,4,0
50,81,4,1
50,82,4,0
50,83,3,0
50,84,2,0
50,85,1,0
50,86,0,0
50,87,0,0
50,88,0,0
50,89,0,1
50,90,0,0
50,91,0,0
50,92,0,0
50,93,0,0
50,94,0,0
50,95,0,0
50,96,1,0
50,97,1,0
50,98,0,0
50,99,0,0
50,100,0,0
50,101,0,0
50,102,0,0
50,103,0,1
50,104,0,0
50,105,0,0
50,106,0,1
50,107,0,1
50,108,0,1
50,109,0,2
50,110,0,2
50,111,0,2
50,112,0,2
50,113,0,2
50,114,0,3
50,115,0,2
50,116,1,2
50,117,1,2
50,118,1,1
50,119,1,1
50,120,1,1
50,121,1,1
50,122,0,1
50,123,0,1
50,124,0,1
50,125,0,1
50,126,1,1
50,127,1,2
50,128,1,1
50,129,1,1
50,130,1,2
50,131,1,2
50,132,0,2
50,133,0,2
50,134,0,1
50,135,0,1
50,136,0,0
50,137,0,0
50,138,1,0
50,139,1,1
50,140,1,0
50,141,1,0
50,142,1,0
50,143,1,0
50,144,1,1
50,145,1,1
50,146,1,2
50,147,1,1
50,148,1,2
50,149,1,3
100,0,5,4
100,1,5,4
100,2,5,5
100,3,5,4
100,4,5,5
100,5,5,5
100,6,5,6
100,7,5,6
100,8,5,5
100,9,6,5
100,10,6,4
100,11,6,3
100,12,6,4
100,13,5,4
100,14,4,4
100,15,4,5
100,16,4,4
100,17,4,3
100,18,4,3
100,19,5,3
100,20,5,3
100,21,5,3
100,22,5,3
100,23,4,3
100,24,4,3
100,25,4,4
100,26,3,4
100,27,2,4
100,28,1,4
100,29,0,4
100,30,0,3
100,31,1,3
100,32,1,3
100,33,1,3
100,34,1,4
100,35,1,3
100,36,0,3
100,37,1,3
100,38,2,3
100,39,2,3
100,40,2,4
100,41,2,4
100,42,2,3
100,43,2,4
100,44,3,4
100,45,3,3
100,46,3,4
100,47,3,3
100,48,3,2
100,49,4,2
100,50,4,3
100,51,4,3
100,52,5,3
100,53,5,4
100,54,5,3
100,55,5,2
100,56,5,1
100,57,5,1
100,58,4,1
100,59,4,0
100,60,5,0
100,61,6,0
100,62,5,0
100,63,5,0
100,64,5,0
100,65,5,1
100,66,5,1
100,67,4,1
100,68,5,1
100,69,6,1
100,70,6,0
100,71,6,1
100,72,6,0
100,73,6,0
100,74,5,0
100,75,5,1
100,76,5,2
100,77,5,2
100,78,4,2
