episode,step,x,y
50,0,5,4
50,1,5,4
50,2,6,4
50,3,6,3
50,4,7,3
50,5,7,3
50,6,7,3
50,7,7,3
50,8,7,3
50,9,7,4
50,10,6,4
50,11,6,5
50,12,5,5
50,13,4,5
50,14,5,5
50,15,5,4
50,16,5,5
50,17,6,5
50,18,6,6
50,19,6,7
50,20,5,7
50,21,5,7
50,22,5,7
50,23,5,7
50,24,5,6
50,25,5,7
50,26,5,6
50,27,4,6
50,28,4,7
50,29,5,7
50,30,4,7
50,31,4,7
50,32,4,6
50,33,4,6
50,34,4,6
50,35,4,5
50,36,4,4
50,37,5,4
50,38,5,4
50,39,6,4
50,40,5,4
50,41,4,4
50,42,4,4
50,43,4,5
50,44,4,5
50,45,4,5
50,46,4,5
50,47,4,5
50,48,5,5
50,49,5,4
50,50,5,4
50,51,5,5
50,52,5,5
50,53,4,5
50,54,4,6
50,55,4,5
50,56,3,5
50,57,4,5
50,58,3,5
50,59,3,4
50,60,3,4
50,61,3,4
50,62,3,5
50,63,3,4
50,64,3,5
50,65,3,4
50,66,4,4
50,67,5,4
50,68,5,4
50,69,5,3
50,70,6,3
50,71,6,2
50,72,6,1
50,73,5,1
50,74,6,1
50,75,6,2
50,76,6,2
50,77,7,2
50,78,7,1
50,79,7,2
50,80,7,1
50,81,7,2
50,82,7,1
50,83,6,1
50,84,5,1
50,85,4,1
50,86,3,1
50,87,3,0
50,88,3,0
50,89,2,0
50,90,2,0
50,91,2,0
50,92,2,0
50,93,1,0
50,94,0,0
50,95,0,0
50,96,1,0
50,97,1,0
50,98,0,0
50,99,0,0
50,100,0,0
50,101,0,0
50,102,0,0
50,103,0,1
50,104,0,0
50,105,0,0
50,106,0,1
50,107,0,1
50,108,0,1
50,109,0,0
50,110,0,0
50,111,0,0
50,112,0,0
50,113,0,0
50,114,0,1
50,115,0,0
50,116,1,0
50,117,1,0
50,118,1,0
50,119,1,0
50,120,1,0
50,121,1,0
50,122,0,0
50,123,0,0
50,124,0,0
50,125,0,0
50,126,1,0
50,127,1,1
50,128,1,0
50,129,1,0
50,130,1,1
50,131,1,1
50,132,1,1
50,133,1,1
50,134,1,0
50,135,1,0
50,136,1,0
50,137,1,0
50,138,2,0
50,139,2,1
50,140,2,0
50,141,2,0
50,142,2,0
50,143,2,0
50,144,2,1
50,145,2,1
50,146,2,2
50,147,2,1
50,148,2,2
50,149,2,3
100,0,5,4
100,1,4,4
100,2,3,4
100,3,2,4
100,4,2,5
100,5,2,5
100,6,2,6
100,7,2,6
100,8,2,5
100,9,3,5
100,10,2,5
100,11,2,4
100,12,1,4
100,13,0,4
100,14,0,4
100,15,0,5
100,16,0,4
100,17,0,3
100,18,0,3
100,19,1,3
100,20,0,3
100,21,0,3
100,22,0,3
100,23,0,3
100,24,0,3
100,25,0,4
100,26,0,4
100,27,0,4
100,28,0,4
100,29,0,4
100,30,0,3
100,31,1,3
100,32,1,3
100,33,0,3
100,34,0,4
100,35,0,3
100,36,0,3
100,37,1,3
100,38,2,3
100,39,1,3
100,40,1,4
100,41,1,4
100,42,1,4
100,43,1,5
100,44,2,5
100,45,2,4
100,46,1,4
100,47,1,4
100,48,1,3
100,49,2,3
100,50,2,4
100,51,2,4
100,52,3,4
100,53,3,5
100,54,3,4
100,55,3,3
100,56,3,2
100,57,3,2
100,58,3,2
100,59,3,1
100,60,4,1
100,61,5,1
100,62,4,1
100,63,3,1
100,64,3,1
100,65,3,0
100,66,3,0
100,67,2,0
100,68,3,0
100,69,4,0
100,70,4,0
100,71,4,1
100,72,4,1
100,73,4,1
100,74,3,1
100,75,3,0
100,76,3,1
100,77,3,1
100,78,2,1
